stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code,stop_code,stop_desc,zone_id,stop_url,stop_timezone,wheelchair_boarding
5149BO0001U2,Santa Cruz,-22.91754,-43.6834,0,,,,,,,,
5149BO0002U1,General Olímpio,-22.92227,-43.67969,0,,,,,,,,
5149BO0002U2,General Olímpio,-22.92224,-43.67961,0,,,,,,,,
5149BO0003U1,Gastão Rangel,-22.92753,-43.67767,0,,,,,,,,
5149BO0003U2,Gastão Rangel,-22.92748,-43.67758,0,,,,,,,,
5149BO0004U1,Cajueiros,-22.93089,-43.67349,0,,,,,,,,
5149BO0004U2,Cajueiros,-22.93083,-43.67346,0,,,,,,,,
5149BO0005U1,Curral Falso,-22.93648,-43.66698,0,,,,,,,,
5149BO0005U2,Curral Falso,-22.93648,-43.66691,0,,,,,,,,
5149BO0006U1,Santa Veridiana,-22.94054,-43.66518,0,,,,,,,,
5149BO0006U2,Santa Veridiana,-22.94048,-43.66514,0,,,,,,,,
5149BO0007U1,Vendas de Varanda,-22.95094,-43.65081,0,,,,,,,,
5149BO0007U2,Vendas de Varanda,-22.95088,-43.65075,0,,,,,,,,
5149O00013C9,"Rua Felipe Cardoso, próximo ao número 786.",-22.9216554255447,-43.6801343060373,0,,,,,,,,
5149O00014C9,"Rua Felipe Cardoso, próximo ao número 1128.",-22.9251394056483,-43.6792255844203,0,,,,,,,,
5149O00015C9,"Rua Felipe Cardoso, 1470.",-22.9276482830369,-43.677664806824,0,,,,,,,,
5149O00016C9,"Rua Felipe Cardoso, próximo ao número 1608.",-22.9285545435581,-43.676464771142,0,,,,,,,,
5149O00017C9,"Rua Felipe Cardoso, próximo ao número 2142.",-22.9312972633708,-43.6731870311123,0,,,,,,,,
5149O00018C9,Parque Residencial Santa Cruz,-22.93257,-43.67142,0,,,,,,,,
5149O00020C0,"Rua Felipe Cardoso, 2593.",-22.9343781660142,-43.6686063745436,0,,,,,,,,
5149O00021C9,"Rua Felipe Cardoso, próximo ao número 2777.",-22.9323205905164,-43.6713222797752,0,,,,,,,,
5149O00022C0,"Rua Felipe Cardoso, 1887.",-22.9312463940609,-43.6728680443272,0,,,,,,,,
5149O00023C0,"Rua Felipe Cardoso, 1589.",-22.9280032037754,-43.6768302694204,0,,,,,,,,
5149O00024C0,"Rua Felipe Cardoso, 1517.",-22.9275653015455,-43.6773480581867,0,,,,,,,,
5149O00025C9,Antares,-22.92456,-43.6791,0,,,,,,,,
5149O00026C9,"Rua Felipe Cardoso, próximo ao número 819.",-22.9220995753241,-43.6795433500547,0,,,,,,,,
5149O00087C0,Estrada da Pedra próximo ao 2101-2327,-22.94964,-43.65183,0,,,,,,,,
5149O00088C0,Estrada da Pedra próximo ao 1823-1983 - sentido Santa Cruz,-22.947000976331,-43.6543836507763,0,,,,,,,,
5149O00089C0,Estrada da Pedra L/O ao nº 984 - sentido Santa Cruz.,-22.9455510132244,-43.6570797990755,0,,,,,,,,
5149O00090C0,"Estrada da Pedra, próximo ao número 591.",-22.9430512759784,-43.6615460849322,0,,,,,,,,
5149O00091C9,"Estrada da Pedra, s/n.",-22.9393868445762,-43.6661729056134,0,,,,,,,,
5149O00092C9,"Estrada da Pedra, 5.",-22.936791534941,-43.6668158760763,0,,,,,,,,
5149O00093C0,Cesarão :: Linha 839,-22.9357140791957,-43.6662853072882,0,,,,,,,,
5149O00123C0,"Estrada da Pedra, 12",-22.9372971798904,-43.6670360297922,0,,,,,,,,
5149O00124C0,"Estrada da Pedra, 396",-22.9391761079776,-43.6664962823366,0,,,,,,,,
5149O00125C0,"Estrada da Pedra, 568",-22.9408966334206,-43.6645390212853,0,,,,,,,,
